i,dir,p_now,p_future,gross_ret,net_ret,balance
514,-1,108784.64,108753.5,0.00028625364757373095,0.00028625364757373095,10021.980578376526
516,-1,108753.5,108724.56,0.00026610637818558214,0.00026610637818558214,10024.647491330485
518,-1,108724.56,108392.97,0.0030498168950970905,0.0030498168950970905,10055.220830616938
520,-1,108392.97,108568.29,-0.0016174480688184723,-0.0016174480688184723,10038.957033102914
522,-1,108568.29,108181.5,0.003562642462177412,0.003562642462177412,10074.72224770502
524,-1,108181.5,108402.87,-0.002046283329404597,-0.002046283329404597,10054.10651152116
526,-1,108402.87,107989.47,0.0038135521688678065,0.0038135521688678065,10092.4483712142
528,-1,107989.47,107894.26,0.0008816600359276006,0.0008816600359276006,10101.34647960776
530,-1,107894.26,107956.44,-0.0005763049860114666,-0.0005763049860114666,10095.525023266133
532,-1,107956.44,108110.49,-0.0014269644312094876,-0.0014269644312094876,10081.119068143547
534,-1,108110.49,107976.58,0.0012386402096595805,0.0012386402096595805,10093.605947579716
536,-1,107976.58,108229.77,-0.0023448603391587053,-0.0023448603391587053,10069.93785131414
538,-1,108229.77,108072.98,0.001448677198519488,0.001448677198519488,10084.525940669846
540,-1,108072.98,108216.12,-0.0013244753684038546,-0.0013244753684038546,10071.1692344594
542,-1,108216.12,108349.24,-0.0012301309638527158,-0.0012301309638527158,10058.780377341891
544,1,108349.24,107774.38,-0.005305620971591485,-0.005305620971591485,10005.412301223232
546,-1,107774.38,107847.55,-0.0006789183106412633,-0.0006789183106412633,9998.619443606416
548,-1,107847.55,107870.07,-0.00020881327392241467,-0.00020881327392241467,9996.531599145692
550,-1,107870.07,108051.38,-0.001680818414227403,-0.001680818414227403,9979.729244755441
552,-1,108051.38,108257.85,-0.0019108501899745,-0.0019108501899745,9960.659477232206
554,1,108257.85,108355.24,0.0008996114369534958,0.0008996114369534958,9969.620200417523
556,1,108355.24,108508.92,0.001418297813746694,0.001418297813746694,9983.76009095166
558,1,108508.92,108357.77,-0.001392973038529921,-0.001392973038529921,9969.852982321814
560,1,108357.77,108504.05,0.0013499724108385625,0.0013499724108385625,9983.312008788065
562,1,108504.05,108805.51,0.0027783294724943453,0.0027783294724943453,10011.048938775188
564,1,108805.51,108822.65,0.00015752878691532857,0.00015752878691532857,10012.625967170263
566,1,108822.65,108861.73,0.00035911641556229945,0.00035911641556229945,10016.221665517958
568,1,108861.73,108964.61,0.0009450520398675,0.0009450520398675,10025.68751623472
570,1,108964.61,108294.23,-0.006152272742498743,-0.006152272742498743,9964.006752203779
572,-1,108294.23,108204.96,0.0008243283137060464,0.0008243283137060464,9972.22036508758
574,-1,108204.96,108420.04,-0.001987709251036085,-0.001987709251036085,9952.398490414525
576,1,108420.04,109111.55,0.006378064424252372,0.006378064424252372,10015.875529162222
578,1,109111.55,109058.04,-0.000490415542625966,-0.000490415542625966,10010.963588129714
580,1,109058.04,108781.57,-0.0025350721505721374,-0.0025350721505721374,9985.585073137056
582,1,108781.57,108646.76,-0.0012392724245477993,-0.0012392724245477993,9973.21021291294
584,1,108646.76,108891.89,0.0022562108616952514,0.0022562108616952514,9995.711878121285
586,1,108891.89,108858.96,-0.00030241003255604415,-0.00030241003255604415,9992.6890745668
588,1,108858.96,108988.53,0.001190255721715383,0.001190255721715383,10004.582929913127
590,1,108988.53,108979.35,-8.422904685467802e-05,-8.422904685467802e-05,10003.740253428763
592,1,108979.35,108844.53,-0.0012371151048341522,-0.0012371151048341522,9991.364475256409
594,1,108844.53,108610.67,-0.002148569156392166,-0.002148569156392166,9969.897337714601
596,1,108610.67,108450.62,-0.0014736121230077837,-0.0014736121230077837,9955.205576132603
598,-1,108450.62,108619.78,-0.0015597882243549854,-0.0015597882243549854,9939.677563703917
600,-1,108619.78,108618.87,8.377847938945138e-06,8.377847938945138e-06,9939.760836811109
602,-1,108618.87,108933.45,-0.002896181851274937,-0.002896181851274937,9910.973481869523
604,1,108933.45,108719.31,-0.001965787368342742,-0.001965787368342742,9891.490615390885
606,1,108719.31,108694.2,-0.0002309617307173495,-0.0002309617307173495,9889.20605959898
608,1,108694.2,108847.02,0.0014059627836628952,0.0014059627836628952,9903.10991527875
610,-1,108847.02,108899.33,-0.0004805827481542124,-0.0004805827481542124,9898.350651500392
612,1,108899.33,109149.28,0.0022952390983488336,0.0022952390983488336,9921.069732924881
614,1,109149.28,109539.6,0.0035760199242724777,0.0035760199242724777,9956.547675959917
616,1,109539.6,109359.86,-0.0016408677774978342,-0.0016408677774978342,9940.210297703314
618,1,109359.86,109075.35,-0.0026015944058450646,-0.0026015944058450646,9914.349902199885
620,-1,109075.35,109213.63,-0.001267747479150927,-0.001267747479150927,9901.78101010395
622,1,109213.63,109525.95,0.002859716319290939,0.002859716319290939,9930.09729484859
624,1,109525.95,109334.95,-0.0017438789620176642,-0.0017438789620176642,9912.780407085316
626,1,109334.95,109599.52,0.002419811780222325,0.002419811780222325,9936.767469889139
628,1,109599.52,111691.6,0.019088404766736122,0.019088404766736122,10126.44450942732
630,1,111691.6,110821.82,-0.00778733584262381,-0.00778733584262381,10047.586485140715
632,1,110821.82,110937.11,0.0010403185942984283,0.0010403185942984283,10058.039176189028
634,1,110937.11,111487.8,0.004963983648032633,0.004963983648032633,10107.967118190902
636,1,111487.8,111475.16,-0.0001133756339258829,-0.0001133756339258829,10106.821121011175
638,1,111475.16,111132.37,-0.003075034832872303,-0.003075034832872303,10075.742294014455
640,1,111132.37,111380.91,0.002236432103445818,0.002236432103445818,10098.276007546836
642,1,111380.91,111192.69,-0.0016898766583968161,-0.0016898766583968161,10081.211166631634
644,1,111192.69,111259.01,0.0005964420862558661,0.0005964420862558661,10087.224025251846
