open,high,low,close,volume,close_time,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1902.85,1905.29,1900.93,1902.21,105.5601,1683170999999,259,64.05299208343382,1865.4895561417807,1892.2375,1918.9854438582192,2.8271233244473053,0.6864161980610646
1903.44,1904.3,1899.09,1903.56,82.1733,1683172799999,209,64.98295678466383,1867.786364459837,1893.6730000000002,1919.5596355401635,2.7340132684115255,0.6909672654188677
1904.18,1905.17,1902.33,1903.7,47.3681,1683174599999,146,65.08383773635772,1869.1983566791014,1894.7850000000003,1920.3716433208992,2.7007437066367874,0.6742119880320145
1903.68,1905.69,1899.94,1900.69,78.4038,1683176399999,204,61.013953920144914,1870.3023617821618,1895.5755000000001,1920.8486382178385,2.6665398680071903,0.6011845057767694
1900.63,1901.58,1897.52,1900.33,29.8531,1683178199999,142,60.52645374542686,1872.5716958596795,1896.6495,1920.7273041403205,2.538982995046844,0.5764293117958502
1900.33,1903.99,1900.04,1902.05,76.5784,1683179999999,305,62.085164085069394,1878.437800472672,1898.3665,1918.2951995273281,2.0995629165735945,0.5924169686774774
1903.49,1904.3,1897.54,1898.06,30.6009,1683181799999,105,56.510513428045,1883.7975499596257,1899.6380000000001,1915.4784500403746,1.6677335408508815,0.45019080910017817
1898.93,1901.97,1896.93,1900.57,29.0728,1683183599999,90,59.004269455804156,1891.1986957077365,1901.0060000000003,1910.813304292264,1.031801508492217,0.4777716696144371
1900.3,1901.67,1897.65,1898.89,33.9664,1683185399999,93,56.66228499055864,1893.8420627040246,1901.5570000000002,1909.271937295976,0.8114337141590482,0.32715348824731727
1898.82,1901.16,1896.42,1898.63,103.3011,1683187199999,257,56.289910535736325,1896.2650786310305,1901.9855,1907.7059213689695,0.6015210283116756,0.20670866850807038
1898.68,1902.86,1896.35,1902.52,49.6557,1683188999999,195,60.475120821987844,1896.8792942407347,1901.679,1906.4787057592655,0.5047861136674914,0.5876095371446904
1902.43,1904.53,1900.19,1901.93,55.3696,1683190799999,210,59.543884628734894,1897.2377455374724,1901.4450000000002,1905.652254462528,0.442532333307329,0.5576385388998442
1902.41,1902.41,1898.4,1899.89,48.8165,1683192599999,167,56.31487692886873,1897.1907170237419,1901.2235000000003,1905.2562829762587,0.4242302892067588,0.3346675226697432
1899.95,1903.02,1898.53,1902.97,45.6606,1683194399999,150,59.8546273507078,1897.4532543217933,1901.107,1904.7607456782066,0.384380855807341,0.7549438527032993
1903.88,1907.57,1901.29,1906.28,99.0814,1683196199999,255,63.29659942776363,1897.003543494167,1901.3130000000003,1905.6224565058337,0.4533137369631823,1.0762907681370237
1906.37,1918.21,1906.06,1911.68,233.2981,1683197999999,767,68.10157840940505,1895.4744706341814,1901.8085,1908.1425293658187,0.6661059055965572,1.2792433086331383
1912.19,1913.14,1908.79,1909.18,43.3969,1683199799999,162,63.928914087646284,1895.6394952996939,1902.4035000000001,1909.1675047003064,0.711100952064718,1.0009236613698034
1908.45,1909.7,1902.72,1904.73,60.4524,1683201599999,268,57.20953180509523,1895.7018559625742,1902.5410000000002,1909.3801440374261,0.7189483997901719,0.6600346467350993
1904.95,1906.11,1901.58,1905.17,102.8635,1683203399999,329,57.683143879789604,1895.9220630377758,1902.7795,1909.6369369622244,0.7207810429137224,0.6742998158910235
1904.44,1908.74,1893.67,1898.06,239.6148,1683205199999,736,48.36717448872639,1895.3793232040152,1902.5550000000005,1909.7306767959858,0.7543200376320559,0.1867891261131299
1898.08,1900.89,1887.42,1891.81,158.6597,1683206999999,594,41.95304506336797,1893.3959563999972,1902.0350000000003,1910.6740436000034,0.9084000662451642,-0.0917900449070941
1891.88,1893.36,1877.88,1885.0,462.3473,1683208799999,1163,36.30379492825551,1889.6348458588236,1901.1070000000002,1912.5791541411768,1.2068919993642218,-0.20200416599128168
1885.45,1891.26,1884.0,1887.51,275.344,1683210599999,773,39.53555195519228,1887.3995362436438,1900.2975000000004,1913.195463756357,1.3574678445197765,0.004282216884886131
1887.17,1892.03,1885.25,1886.93,222.4381,1683212399999,695,39.04260197659808,1885.3985546405975,1899.6095000000003,1913.820445359403,1.4961964929531868,0.0538825996677731
1886.45,1893.05,1886.14,1889.38,171.8996,1683214199999,649,42.3145336643159,1884.1418933047512,1899.0620000000004,1913.9821066952495,1.5713132794241744,0.17553851330422546
1889.26,1889.45,1885.78,1886.34,112.3525,1683215999999,376,39.48264467437009,1882.3955186035714,1898.2765000000004,1914.1574813964294,1.673200020800866,0.12418884255211905
