,open,high,low,close,volume,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1430,7503.23,7530.32,7493.22,7510.15,4.234681,415,26.1256948876491,7176.148839369169,7680.484,8184.819160630832,13.132900495094619,0.3311301558006149
1431,7506.97,7512.31,7486.25,7506.72,12.095914,649,25.89797515960735,7167.0677285973015,7657.0470000000005,8147.026271402699,12.7981262594496,0.34659861266207415
1432,7506.73,7520.6,7487.65,7496.44,9.399711,458,25.189323215412337,7163.912668743527,7632.294000000001,8100.675331256474,12.273671094338699,0.3549750054773094
1433,7502.36,7504.52,7477.14,7480.4,5.640831,450,24.08204569826293,7165.4386107399905,7606.919,8048.399389260009,11.607337721356291,0.3567105095969653
1434,7480.55,7480.55,7459.59,7462.01,2.412947,104,22.842274947260872,7176.144652489907,7579.788500000001,7983.432347510095,10.650530618633859,0.3541059145004619
1435,7462.52,7493.92,7461.89,7486.42,1.206068,137,28.131106124115863,7200.590423062493,7554.1630000000005,7907.735576937508,9.360999410192965,0.4042021293241109
1436,7485.51,7492.57,7448.93,7451.31,1.492045,82,25.430940268185662,7235.361053705096,7527.530000000002,7819.698946294907,7.762677698923955,0.36956177073817537
1437,7452.41,7452.67,7423.24,7428.45,4.471169,495,23.827294492462688,7288.545921877673,7500.963,7713.380078122326,5.663728193895278,0.3293145715001286
1438,7427.8,7459.6,7421.24,7437.56,4.009533,253,25.834423277094267,7416.366433342649,7476.054999999999,7535.74356665735,1.596793139091426,0.1775345584943925
1439,7435.58,7443.7,7398.5,7415.13,3.632207,356,24.147324696719654,7415.415274430608,7469.146500000001,7522.877725569393,1.438751417431492,-0.0026546428783750064
1440,7415.12,7462.11,7407.45,7460.55,3.122347,371,33.60300257910592,7414.770080463879,7468.629500000001,7522.488919536123,1.442283876476186,0.4249945499822734
1441,7460.55,7469.28,7442.91,7466.85,3.364453,358,34.81677074081602,7414.688249301912,7468.553500000001,7522.41875069809,1.4424547055353851,0.4841873937471438
1442,7466.85,7492.37,7443.86,7460.08,6.200438,530,34.09546933820835,7413.8528389942985,7467.628000000001,7521.403161005703,1.4402206699557636,0.4298188991084534
